Monthly Budget Calculator,,,,,,,,Budget / Month,,,"$3,631.01",,,,,,,,,
,From,3/31/2026,,To,4/30/2026,,,Budget / Day,,,$117.13,,,Today,4/1/2026,,,,,
,,3/31/2026,,,,,,Date,Expenses,Amount,Budget Balance,Running balance,,Current in Checking,"$2,883.84",,,,,
,Income / Month,,,Fixed Expenses,,\,Tuesday,3/31/2026,,,$117.13,"$3,392.00",,Future Expenses,$471.74,,,,,
,Salary,"$7,450.00",,,,,Wednesday,4/1/2026,,,$234.26,"$3,392.00",,End Budget,"$2,412.10",,,,,
,,,,,,,Thursday,4/2/2026,Rent/Parking/Water/Sewer/Liability/Payday/Car Payment,"$3,281.56","-$2,930.17",$110.44,,After Rent Next Month,$763.14,,,,,
,Previous Checking,"$3,631.01",,,,,Friday,4/3/2026,Insurance (150),,"-$2,813.04",$110.44,,Days left until payday,2,,,,,
,,,,,,,Saturday,4/4/2026,Savings,-$800.00,"-$1,895.91",$910.44,,Daily Budget,"$1,441.92",,,,,
,,,,,,,Sunday,4/5/2026,,,"-$1,778.78",$910.44,,Daily Budget after expenses,"$1,206.05",,,,,
,,,,,,,Monday,4/6/2026,Payday,"-$1,513.00",-$148.65,"$2,423.44",,,,,,,,
,,,,,,,Tuesday,4/7/2026,Electricity/Gas,$190.73,-$222.26,"$2,232.71",,Credit Card Information,,,,,,
,,,,,,,Wednesday,4/8/2026,Discover,"$1,213.97","-$1,319.10","$1,018.74",,Previous CapitalOne,$492.04,,,,,
,,,,,,,Thursday,4/9/2026,Car Payment,$150.00,"-$1,351.97",$868.74,,Previous Discover,"$1,431.46",,,,,
,,,,,,,Friday,4/10/2026,Grocery (120),,"-$1,234.84",$868.74,,Estimated Month CC additions,643,,,,,
,,,,,,,Saturday,4/11/2026,,,"-$1,117.71",$868.74,,Total,"$2,566.50",,,,,
,,,,,,,Sunday,4/12/2026,Student Loans,$423.00,"-$1,423.58",$445.74,,,,,,,,
,Total,"$3,631.01",,Total,$0.00,,Monday,4/13/2026,Payday,"-$1,440.00",$133.55,"$1,885.74",,,,,,,,
,,,,,,,Tuesday,4/14/2026,Grocery (120),,$250.68,"$1,885.74",,,,,,,,
,Days until rent is due:,,,31,,,Wednesday,4/15/2026,,,$367.81,"$1,885.74",,,,,,,,
,Days until next payday:,,,2,,,Thursday,4/16/2026,Car Payment,$150.00,$334.94,"$1,735.74",,,,,,,,
,Days until the first of the month,,,30,,,Friday,4/17/2026,MC Payment,"$1,288.45",-$836.38,$447.29,,,,,,,,
,,,,,,,Saturday,4/18/2026,,,-$719.25,$447.29,,,,,,,,
,,,,,,,Sunday,4/19/2026,,,-$602.12,$447.29,,,,,,,,
,,,,,,,Monday,4/20/2026,Payday,"-$1,440.00",$955.01,"$1,887.29",,,,,,,,
,,,,,,,Tuesday,4/21/2026,Grocery (120),,"$1,072.14","$1,887.29",,,,,,,,
,,,,,,,Wednesday,4/22/2026,Haircut,$60.00,"$1,129.27","$1,827.29",,,,,,,,
,,,,,,,Thursday,4/23/2026,Car Payment,$150.00,"$1,096.39","$1,677.29",,,,,,,,
,,,,,,,Friday,4/24/2026,Subscriptions,$47.00,"$1,166.52","$1,630.29",,,,,,,,
,,,,,,,Saturday,4/25/2026,Internet Bill,$59.99,"$1,223.66","$1,570.30",,,,,,,,
,,,,,,,Sunday,4/26/2026,Apple TV (13),,"$1,340.79","$1,570.30",,,,,,,,
,,,,,,,Monday,4/27/2026,Payday,"-$1,440.00","$2,897.92","$3,010.30",,,,,,,,
,,,,,,,Tuesday,4/28/2026,Phone Bill,$90.04,"$2,925.01","$2,920.26",,,,,,,,
,,,,,,,Wednesday,4/29/2026,Grocery (120),,"$3,042.14","$2,920.26",,,,,,,,
,,,,,,,Thursday,4/30/2026,,,"$3,159.27","$2,920.26",,,,,,,,
,,,,,,,Friday,5/1/2026,,$471.74,"$3,159.27","$2,920.26",,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
