Monthly Budget Calculator,,,,,,,,Budget / Month,,,$616.74,,,,,,House Savings,,,,,,,,,Accounts,,,,,,,,,,,,,,,,,,,,,
,From,30-Apr,,To,31-May,,,Budget / Day,,,$19.27,,,Today,1-Apr,,,Monthly,,"Ideal
Annually",,"Guaranteed
Annually","High Save
No Bonus","Low Save
Low Bonus",,,Current,Goal,Remaining,,,,401k Retirement Fund Table - Edit Salary to Adjust Numbers (after year 2 Bonus adjusted to max out yearly limit),,,,,,,,,,,,,,
,,,,,,,,Date,Expenses,Amount,Budget Balance,Running Balance,,Current in Checking,"$9,862.10",,1USD=1.25GBP,GBP,USD,GBP,USD,,,,,,,,,,,Current 401k Value,Age,Start Year,Year,Salary,Contribution,Employee Contribution,Employer Match,Total Annual Contributions,EoY 401k Balance (0% gains),Adjusted with 6% Gains,Bonus Contribution,New Contributions,New Total Contributions,Estiamted 401k with Bonus,Estimated with 6% Growth
,Income / Month,,,Fixed Expenses,,,Thursday,30-Apr,Grocery (100),,$19.27,"$2,412.10",,Future Expenses,-$652.11,,Savings,£750,,"£9,000","$11,250","$11,250","$11,250","$11,250",,,,,,,,"$4,923.80",36,2025,1,"$75,000",10%,"$7,500","$2,813","$10,313","$10,313","$10,931",5000,"$12,500","$15,313","$15,313","$15,313"
,Salary (weekly),"$7,450.00",,Rent,"$2,898.00",,Friday,1-May,,-$700.00,$38.55,"$3,112.10",,End Budget,"$10,514.21",,Student Loans,£750,$508,,"$6,090","$2,340","$6,090","$2,340",,,,,,,,,37,2026,2,"$130,000",10%,"$13,000","$4,875","$17,875","$28,188","$28,806",5000,"$18,000","$22,875","$38,188","$39,106"
,,,,Electric/Gas,$250.00,,Saturday,2-May,Rent/Parking/Water/Sewer/Car Payment,"$3,298.00",$57.82,-$185.90,,,,,Bonus,"£6,093",,"£4,000","$5,000",$0,$0,"$3,750",,Burke Savings,"$3,700",,,,,,38,2027,3,"$134,225",11%,"$14,765","$5,033","$19,798","$47,986","$50,333","$8,735","$23,500","$28,533","$66,721","$69,986"
,Previous Checking,"$2,412.10",,Parking,$75.00,,Sunday,3-May,Payday/Bonus,"-$10,513.00",$77.09,"$10,327.10",,Days left until payday,25,,Annual Savings,,,,"$22,340","$13,590","$17,340","$17,340",,Ally Savings,"$1,025",,,,,,39,2028,4,"$138,587",12%,"$16,630","$5,197","$21,828","$69,813","$75,180","$6,870","$23,500","$28,697","$95,418","$102,882"
,CC Payments Due,,,Water,,,Monday,4-May,Car Insuirance (149.43) / Savings,"$2,500.00",$96.37,"$7,827.10",,Daily Budget,$394.48,,Start Savings,,,"£4,500","$5,625","$5,625","$5,625","$5,625",,Merill (TJX),"$37,000",,,,,,40,2029,5,"$143,091",13%,"$18,602","$5,366","$23,968","$93,781","$103,659","$4,898","$23,500","$28,866","$124,284","$137,921"
,Bonus,,,Internet,$69.99,,Tuesday,5-May,Grocery (100),,$115.64,"$7,827.10",,Daily Budget after expenses,$420.57,,1 years,"£13,500","$16,875",,"$27,965","$19,215","$22,965","$22,965",,Charles Schwabb,"$23,700",,,,,,41,2030,6,"$144,000",14%,"$20,160","$5,400","$25,560","$119,341","$135,438","$3,340","$23,500","$28,900","$153,184","$175,096"
,,,,Phone,$90.04,,Wednesday,6-May,Payday,,$19.27,"$7,827.10",,,,,2 years,"£22,500","$28,125",,"$50,305","$32,805","$40,305","$40,305",,Robin Hood,$843.00,,,,,,42,2031,7,"$144,000",15%,"$21,600","$5,400","$27,000","$146,341","$153,501","$1,900","$23,500","$28,900","$182,084","$214,502"
,,,,Date Night,$400.00,,Thursday,7-May,Electricity/Gas,$250.00,$38.55,"$7,577.10",,,,,3 years,"£31,500","$39,375",,"$72,645","$46,395","$57,645","$57,645",,Total USD,"$29,268","$49,122.00","$19,854.00",,,,43,2032,8,"$144,000",16%,"$23,040","$5,400","$28,440","$174,781","$191,152",$460,"$23,500","$28,900","$210,984","$256,272"
,,,,Car/Insurance,$899.43,,Friday,8-May,Discover,"$1,431.46",$57.82,"$6,145.64",,,,,,,,,,,,,,Total Liquid,"$4,725","$49,122.00","$44,397",,,,44,2033,9,"$144,000",16%,"$23,040","$5,400","$28,440","$203,221","$231,061",$460,"$23,500","$28,900","$239,884","$300,549"
,,,,Student Loans,$422.10,,Saturday,9-May,Car Payment,$150.00,$77.09,"$5,995.64",,,,,,Visa End Date,Low,Med,High,,,,,401k,7947.56,,,,,,45,2034,10,"$144,000",16%,"$23,040","$5,400","$28,440","$231,661","$273,364",$460,"$23,500","$28,900","$268,784","$347,482"
,,,,Savings,"$1,000.00",,Sunday,10-May,Payday,"-$1,513.00",$96.37,"$7,508.64",,Credit Cards,,,,April 2024,"$17,057.00",,,,,,,Total Combined,"$49,673",,,,,,46,2035,11,"$144,000",16%,"$23,040","$5,400","$28,440","$260,101","$318,206",$460,"$23,500","$28,900","$297,684","$397,230"
,,,,Commute,$92.80,,Monday,11-May,Student Loans,$423.00,$115.64,"$7,085.64",,,Current Balance,,,Dec 2024,"$24,557.00","$26,121.00","$28,617.00",,Housing Downpayments,,,,,,,,,,47,2036,12,"$144,000",16%,"$23,040","$5,400","$28,440","$288,541","$304,147",$460,"$23,500","$28,900","$326,584","$449,964"
